dateTime,stress,emotion,,,,
08/02/2021 13:32:47Z,8,Calm,,,,
08/02/2021 13:32:48Z,9,Happy,,,,
08/02/2021 13:32:48Z,3,Calm,,,,
08/02/2021 13:32:48Z,1,Worried,,,,
08/02/2021 13:32:48Z,1,Happy,,,,
08/02/2021 13:38:39Z,1,Sad,,,,
08/02/2021 13:38:39Z,8,Angry,,,,
08/02/2021 13:38:39Z,7,Excited,,,,
08/02/2021 13:38:39Z,4,Happy,,,,
08/02/2021 13:39:20Z,6,Angry,,,,
08/02/2021 13:39:20Z,1,Angry,,,,
08/02/2021 13:39:20Z,2,Worried,,,,
08/02/2021 14:46:45Z,9,Worried,,08/02/2021 13:32:48Z,,
08/02/2021 14:47:37Z,8,Calm,,,,
08/02/2021 14:57:06Z,5,Angry,,,,
08/02/2021 14:57:06Z,2,Happy,,,,
08/02/2021 14:57:06Z,2,Excited,,,,
08/02/2021 14:57:06Z,6,Angry,,,,
08/02/2021 14:57:06Z,2,Calm,,,,
08/02/2021 14:57:06Z,4,Calm,,,,
08/02/2021 14:57:06Z,9,Calm,,,,
08/02/2021 14:57:06Z,2,Sad,,,,
08/02/2021 15:31:34Z,9,Calm,,,,
08/02/2021 15:31:45Z,8,Happy,,,,
08/02/2021 15:33:08Z,3,Worried,,,,
08/02/2021 15:33:08Z,8,Angry,,,,
08/02/2021 15:33:08Z,8,Sad,,,,
08/02/2021 15:33:08Z,2,Angry,,,,
08/02/2021 15:33:08Z,3,Calm,,,,
08/02/2021 15:33:08Z,10,Excited,,,,
08/02/2021 15:33:08Z,10,Happy,,,,
08/02/2021 15:33:08Z,6,Sad,,,,
08/02/2021 15:33:08Z,7,Happy,,,,
08/02/2021 15:33:08Z,7,Excited,,,,
08/02/2021 15:42:17Z,6,Excited,,,,
08/02/2021 15:50:00Z,8,Excited,,,,
08/02/2021 15:50:00Z,6,Worried,,,,
08/02/2021 15:50:00Z,5,Angry,,,,
08/02/2021 15:50:00Z,1,Excited,,,,
08/02/2021 15:50:00Z,2,Sad,,,,
08/02/2021 15:50:00Z,2,Excited,,,,
08/02/2021 15:50:00Z,10,Sad,,,,
08/02/2021 15:50:00Z,10,Worried,,,,
08/02/2021 15:50:00Z,6,Worried,,,,
08/02/2021 15:50:00Z,1,Excited,,,,
