NewID,Date,Check-In Completed,Check-In Attitude,Notes,Check-In Behavior,Notes,Check-In Plan,Notes,Check-In Feeling,Notes,Check-In Stress,Notes,Check-Out Completed,Check-Out Attitude,Notes,Check-Out Behavior,Notes,Check-Out Plan,Notes,Check-Out Feeling,Notes,Check-Out Stress,Notes
92571,9/12/24,9/12/2024 12:15:56PZ,,,,,,,Calm,,0,,,,,,,,,,,,
92571,9/30/24,9/30/2024 3:01:39PZ,,,,,,,Calm,,0,,9/30/2024 7:17:54PZ,,,,,,,Happy,,0,
92571,10/1/24,10/1/2024 2:43:24PZ,,,,,,,Calm,,0,,,,,,,,,,,,
92571,10/4/24,10/4/2024 4:12:04PZ,,,,,,,Calm,,0,,10/4/2024 7:22:32PZ,,,,,,,Excited,,0,
92571,10/8/24,10/8/2024 3:56:15PZ,,,,,,,Calm,,0,,10/8/2024 7:30:54PZ,,,,,,,Calm,,0,
92571,10/22/24,10/22/2024 6:19:20PZ,,,,,,,Happy,,0,,10/22/2024 6:19:28PZ,,,,,,,Calm,,0,
92571,10/24/24,10/24/2024 3:40:13PZ,,,,,,,Calm,,0,,10/24/2024 7:16:32PZ,,,,,,,Calm,,0,
92571,10/30/24,10/30/2024 12:22:51PZ,,,,,,,Happy,,0,,10/30/2024 7:19:22PZ,,,,,,,Happy,,0,
92571,10/31/24,10/31/2024 1:35:26PZ,,,,,,,Happy,,0,,10/31/2024 7:25:22PZ,,,,,,,Excited,,0,
92571,11/1/24,11/1/2024 12:25:44PZ,,,,,,,Happy,,0,,,,,,,,,,,,
48414,8/27/24,8/27/2024 12:19:41PZ,,,,,,,Happy,,0,,,,,,,,,,,,
48414,9/11/24,9/11/2024 12:04:37PZ,,,,,,,Calm,,0,,,,,,,,,,,,
48414,9/13/24,9/13/2024 12:00:32PZ,,,,,,,Calm,,0,,,,,,,,,,,,
48414,9/17/24,9/17/2024 11:48:49AZ,,,,,,,Calm,,0,,9/17/2024 7:29:01PZ,,,,,,,Excited,,0,
48414,9/18/24,9/18/2024 12:01:01PZ,,,,,,,Happy,,0,,9/18/2024 7:19:02PZ,,,,,,,Calm,,0,
48414,9/19/24,9/19/2024 12:00:02PZ,,,,,,,Worried,,4,,,,,,,,,,,,
48414,9/20/24,9/20/2024 11:56:49AZ,,,,,,,Happy,,0,,,,,,,,,,,,
48414,9/23/24,9/23/2024 11:51:54AZ,,,,,,,Happy,,0,,,,,,,,,,,,
48414,9/24/24,9/24/2024 11:47:11AZ,,,,,,,Happy,,0,,9/24/2024 6:26:46PZ,,,,,,,Happy,,0,
48414,9/25/24,9/25/2024 12:10:59PZ,,,,,,,Excited,,0,,,,,,,,,,,,
48414,9/26/24,9/26/2024 3:10:49PZ,,,,,,,Happy,,0,,,,,,,,,,,,
48414,10/2/24,10/2/2024 2:33:23PZ,,,,,,,Calm,,0,,10/2/2024 5:18:32PZ,,,,,,,Angry,,7,
48414,10/4/24,10/4/2024 4:12:04PZ,,,,,,,Calm,,0,,10/4/2024 7:26:08PZ,,,,,,,Calm,,0,
48414,10/7/24,10/7/2024 3:19:49PZ,,,,,,,Happy,,0,,10/7/2024 7:35:03PZ,,,,,,,Excited,,1,
48414,10/8/24,10/8/2024 3:56:15PZ,,,,,,,Calm,,0,,10/8/2024 7:30:54PZ,,,,,,,Excited,,0,
48414,10/11/24,10/11/2024 3:17:47PZ,,,,,,,Happy,,0,,,,,,,,,,,,
48414,10/21/24,10/21/2024 1:58:54PZ,,,,,,,Calm,,0,,10/21/2024 6:30:48PZ,,,,,,,Excited,,0,
48414,10/22/24,10/22/2024 6:19:20PZ,,,,,,,Happy,,0,,10/22/2024 6:20:47PZ,,,,,,,Happy,,0,
48414,10/23/24,10/23/2024 3:18:58PZ,,,,,,,Happy,,0,,10/23/2024 7:16:21PZ,,,,,,,Happy,,0,
48414,10/24/24,10/24/2024 3:40:42PZ,,,,,,,Happy,,0,,10/24/2024 7:16:58PZ,,,,,,,Happy,,0,
48414,10/25/24,10/25/2024 2:08:30PZ,,,,,,,Happy,,0,,10/25/2024 7:19:14PZ,,,,,,,Happy,,0,
48414,10/28/24,10/28/2024 3:18:40PZ,,,,,,,Happy,,0,,10/28/2024 7:23:29PZ,,,,,,,Happy,,0,
48414,10/29/24,10/29/2024 11:56:09AZ,,,,,,,Happy,,0,,10/29/2024 7:18:26PZ,,,,,,,Happy,,0,
48414,10/30/24,10/30/2024 12:20:51PZ,,,,,,,Happy,,0,,10/30/2024 7:19:22PZ,,,,,,,Happy,,0,
48414,10/31/24,10/31/2024 1:35:10PZ,,,,,,,Happy,,0,,10/31/2024 7:25:42PZ,,,,,,,Happy,,0,
48414,11/1/24,11/1/2024 12:03:38PZ,,,,,,,Happy,,0,,,,,,,,,,,,
84581,9/25/24,9/25/2024 12:13:45PZ,Yes,,Yes,,Being accountable; Completing my assignments,,Calm,,2,,,,,,,,,,,,
84581,9/27/24,9/27/2024 3:13:46PZ,Yes,,Yes,,Being accountable; Completing my assignments,,Happy,,2,,,,,,,,,,,,
84581,9/30/24,9/30/2024 12:15:42PZ,Yes,,Yes,,Being accountable; Completing my assignments,,Happy,,2,,,,,,,,,,,,
84581,10/8/24,10/8/2024 12:04:55PZ,Yes,,Yes,,Being accountable; Completing my assignments,,Happy,,2,,,,,,,,,,,,
84581,10/10/24,10/10/2024 12:12:17PZ,Yes,,Yes,,Being accountable; Completing my assignments,,Happy,,2,,,,,,,,,,,,
84581,10/11/24,10/11/2024 12:00:05PZ,Yes,,Yes,,Being accountable; Completing my assignments,,Happy,,2,,,,,,,,,,,,
84581,10/21/24,10/21/2024 12:10:10PZ,Yes,,Yes,,Being accountable; Completing my assignments,,Happy,,2,,,,,,,,,,,,
84581,10/22/24,10/22/2024 12:05:37PZ,Yes,,Yes,,Being accountable; Completing my assignments,,Happy,,2,,,,,,,,,,,,
84581,10/23/24,10/23/2024 12:22:32PZ,Yes,,Yes,,Being accountable; Completing my assignments,,Happy,,2,,,,,,,,,,,,
84581,10/24/24,10/24/2024 12:15:05PZ,Yes,,Yes,,Being accountable; Completing my assignments,,Happy,,2,,,,,,,,,,,,
84581,10/25/24,10/25/2024 12:05:28PZ,Yes,,Yes,,Being accountable; Completing my assignments,,Happy,,2,,,,,,,,,,,,
84581,10/28/24,10/28/2024 12:13:30PZ,Yes,,Yes,,Being accountable; Completing my assignments,,Happy,,2,,,,,,,,,,,,
84581,10/29/24,10/29/2024 1:22:46PZ,Yes,,Yes,,Being accountable; Completing my assignments,,Calm,,2,,,,,,,,,,,,
84581,10/30/24,10/30/2024 12:19:27PZ,Yes,,Yes,,Being accountable; Completing my assignments,,Happy,,2,,,,,,,,,,,,
84581,10/31/24,10/31/2024 12:20:35PZ,Yes,,Yes,,Being accountable; Completing my assignments,,Happy,,2,,,,,,,,,,,,
84581,11/1/24,11/1/2024 12:12:07PZ,Yes,,Yes,,Being accountable; Completing my assignments,,Happy,,2,,,,,,,,,,,,
24184,8/18/24,8/20/2024 12:39:41PZ,,,,,,,Happy,,7,,,,,,,,,,,,
24184,8/21/24,8/21/2024 12:11:23PZ,,,,,,,Happy,,1,,,,,,,,,,,,
